类别,尺寸,颜色,目的地,业务类型,国家,价格,数量,折扣
配件,262 oz,红色,澳大利亚,自行车专卖店,澳大利亚,174,225,23
配件,214 oz,黄色,加拿大,自行车专卖店,加拿大,502,90,17
配件,147 oz,白色,法国,自行车专卖店,法国,242,855,37
配件,112 oz,黄色,德国,自行车专卖店,德国,102,897,42
配件,256 oz,红色,英国,自行车专卖店,英国,126,115,44
配件,278 oz,黄色,美国,自行车专卖店,美国,1246,88,47
配件,8 oz,绿色,澳大利亚,经销商,澳大利亚,680,66,80
配件,181 oz,黄色,加拿大,经销商,加拿大,1241,939,66 
配件,181 oz,黄色,加拿大,经销商,加拿大,1241,939,66
配件,344 oz,黄色,法国,经销商,法国,150,67,30
配件,291 oz,红色,德国,经销商,德国,244,963,22
配件,126 oz,黄色,英国,经销商,英国,501,556,9
配件,317 oz,红色,美国,经销商,美国,4960,898,41
配件,124 oz,黄色,澳大利亚,批发,澳大利亚,9,578,8
配件,23 oz,红色,加拿大,批发,加拿大,3655,64,70
配件,124 oz,绿色,法国,批发,法国,1654,556,95
配件,310 oz,黄色,德国,批发,德国,1190,292,36
配件,277 oz,红色,英国,批发,英国,1222,730,38
配件,47 oz,白色,美国,批发,美国,7941,73,53
自行车,264 oz,白色,澳大利亚,自行车专卖店,澳大利亚,6829,19,56
自行车,76 oz,红色,加拿大,自行车专卖店,加拿大,1664,19,75
自行车,217 oz,红色,法国,自行车专卖店,法国,2995,98,88
自行车,251 oz,绿色,德国,自行车专卖店,德国,1487,96,100
自行车,292 oz,绿色,英国,自行车专卖店,英国,9245,51,29
自行车,266 oz,绿色,美国,自行车专卖店,美国,9008,76,66
自行车,198 oz,绿色,澳大利亚,经销商,澳大利亚,9376,92,7
自行车,109 oz,红色,加拿大,经销商,加拿大,1531,56,31
自行车,54 oz,黄色,法国,经销商,法国,5421,83,22
自行车,93 oz,红色,德国,经销商,德国,6975,73,41
自行车,297 oz,蓝色,英国,经销商,英国,4320,59,100
自行车,339 oz,红色,澳大利亚,经销商,美国,3200,27,41
自行车,205 oz,蓝色,加拿大,批发,澳大利亚,6688,22,41
自行车,226 oz,蓝色,法国,批发,加拿大,699,22,42
自行车,311 oz,紫色,德国,批发,法国,5403,75,70
自行车,282 oz,红色,英国,批发,德国,6377,28,49
自行车,286 oz,蓝色,美国,批发,英国,2471,93,14
自行车,100 oz,蓝色,澳大利亚,批发,美国,6650,40,4
服装,218 oz,黄色,加拿大,自行车专卖店,澳大利亚,865,4513,70
服装,216 oz,蓝色,法国,自行车专卖店,加拿大,511,4615,20
服装,284 oz,蓝色,德国,自行车专卖店,法国,981,1854,36
服装,325 oz,蓝色,英国,自行车专卖店,德国,57,1187,10
服装,192 oz,白色,美国,自行车专卖店,英国,675,1527,38
服装,25 oz,紫色,澳大利亚,自行车专卖店,美国,40,4342,72
服装,95 oz,红色,加拿大,经销商,澳大利亚,400,8975,63
服装,39 oz,紫色,法国,经销商,加拿大,971,3522,90
服装,36 oz,绿色,德国,经销商,法国,357,3939,93
服装,208 oz,红色,英国,经销商,德国,820,3560,40
服装,3 oz,白色,美国,经销商,英国,520,3892,32
服装,147 oz,白色,澳大利亚,经销商,美国,448,3906,24
服装,68 oz,红色,英国,批发,澳大利亚,513,9790,40
服装,267 oz,蓝色,美国,批发,加拿大,977,6107,8
服装,33 oz,绿色,澳大利亚,批发,法国,118,4718,84
服装,319 oz,蓝色,加拿大,批发,德国,161,7988,29
服装,326 oz,绿色,法国,批发,英国,239,840,89
服装,184 oz,绿色,德国,批发,美国,327,6574,79
零件,255 oz,红色,英国,自行车专卖店,澳大利亚,284,2471,42
零件,144 oz,绿色,美国,自行车专卖店,加拿大,827,4772,26
零件,283 oz,红色,澳大利亚,自行车专卖店,法国,967,1646,42
零件,299 oz,蓝色,英国,自行车专卖店,德国,569,6568,58
零件,88 oz,蓝色,美国,自行车专卖店,英国,156,7585,35
零件,161 oz,红色,澳大利亚,自行车专卖店,美国,845,4208,42
零件,242 oz,蓝色,加拿大,经销商,澳大利亚,838,6460,41
零件,25 oz,红色,法国,经销商,加拿大,51,410,97
零件,317 oz,蓝色,德国,经销商,法国,95,2307,64
零件,295 oz,红色,法国,经销商,德国,885,6843,10
零件,69 oz,蓝色,德国,经销商,英国,239,7541,36
零件,320 oz,蓝色,英国,经销商,美国,145,7978,78
零件,104 oz,绿色,美国,批发,澳大利亚,605,458,72
零件,34 oz,白色,澳大利亚,批发,加拿大,778,8918,89
零件,194 oz,蓝色,加拿大,经销商,澳大利亚,434,1297,60
零件,340 oz,红色,澳大利亚,经销商,加拿大,732,8420,62
零件,49 oz,蓝色,加拿大,经销商,法国,780,5535,29
零件,94 oz,红色,法国,经销商,德国,85,2063,98
零件,203 oz,蓝色,德国,经销商,英国,672,316,62
零件,350 oz,蓝色,英国,经销商,美国,389,4900,46
零件,106 oz,绿色,美国,批发,澳大利亚,81,3674,34
零件,348 oz,白色,德国,批发,加拿大,959,4819,14
零件,200 oz,绿色,英国,批发,澳大利亚,666,780,88
零件,209 oz,白色,美国,批发,加拿大,326,7308,29
零件,220 oz,白色,澳大利亚,批发,法国,550,3635,99
零件,303 oz,蓝色,加拿大,批发,德国,192,2895,77
零件,193 oz,白色,澳大利亚,批发,英国,564,4306,53
零件,53 oz,蓝色,加拿大,批发,美国,751,4835,34
零件,43 oz,红色,法国,自行车专卖店,澳大利亚,750,178,62
零件,114 oz,绿色,德国,自行车专卖店,加拿大,106,4571,12
零件,231 oz,红色,英国,自行车专卖店,法国,436,7733,94
零件,26 oz,蓝色,美国,自行车专卖店,德国,314,1033,14
零件,140 oz,蓝色,澳大利亚,自行车专卖店,英国,370,5788,76
零件,158 oz,红色,加拿大,自行车专卖店,美国,984,6047,35
零件,25 oz,蓝色,法国,经销商,澳大利亚,531,7845,83
零件,231 oz,红色,德国,经销商,加拿大,907,3829,15
零件,150 oz,蓝色,英国,经销商,法国,233,5546,80
零件,258 oz,红色,美国,经销商,德国,548,2777,74
零件,119 oz,蓝色,澳大利亚,经销商,英国,723,9333,10
零件,116 oz,蓝色,加拿大,经销商,美国,55,9755,21
零件,339 oz,绿色,德国,批发,澳大利亚,523,3115,73
零件,263 oz,白色,英国,批发,加拿大,978,1561,43
零件,30 oz,蓝色,美国,经销商,澳大利亚,522,7101,52
零件,349 oz,红色,澳大利亚,经销商,加拿大,681,6964,47
零件,67 oz,蓝色,加拿大,经销商,法国,166,1589,8
零件,70 oz,红色,澳大利亚,经销商,德国,342,7198,14
零件,17 oz,蓝色,加拿大,经销商,英国,654,8039,10
零件,270 oz,蓝色,法国,经销商,美国,259,8551,18
零件,247 oz,绿色,德国,批发,澳大利亚,756,3897,40
零件,114 oz,白色,英国,批发,加拿大,751,2158,16
零件,39 oz,绿色,美国,批发,澳大利亚,830,4341,63
零件,54 oz,白色,澳大利亚,批发,加拿大,789,7973,37
零件,344 oz,白色,加拿大,批发,法国,324,1908,73
零件,39 oz,蓝色,法国,批发,德国,831,6912,62
零件,314 oz,白色,德国,批发,英国,86,4346,96
零件,324 oz,蓝色,英国,批发,美国,181,3045,48
零件,148 oz,红色,美国,自行车专卖店,澳大利亚,295,3429,68
零件,105 oz,绿色,澳大利亚,自行车专卖店,加拿大,675,2581,3
零件,91 oz,红色,加拿大,自行车专卖店,法国,302,5919,46
零件,39 oz,蓝色,英国,自行车专卖店,德国,620,180,64
零件,4 oz,蓝色,美国,自行车专卖店,英国,390,2174,22
零件,266 oz,红色,澳大利亚,自行车专卖店,美国,698,2281,61
零件,114 oz,蓝色,加拿大,经销商,澳大利亚,195,3606,1
零件,220 oz,红色,法国,经销商,加拿大,542,6412,55
零件,15 oz,蓝色,德国,经销商,法国,159,7231,79
零件,203 oz,红色,英国,经销商,德国,190,6419,100
零件,257 oz,蓝色,美国,经销商,英国,440,9871,88
零件,236 oz,蓝色,澳大利亚,经销商,美国,935,9985,1
零件,50 oz,绿色,英国,批发,澳大利亚,971,4955,72
零件,194 oz,白色,美国,批发,加拿大,95,9544,69
零件,293 oz,蓝色,澳大利亚,经销商,澳大利亚,365,1431,94
零件,128 oz,红色,加拿大,经销商,加拿大,566,3776,49
零件,193 oz,蓝色,法国,经销商,法国,770,3037,59
零件,342 oz,红色,德国,经销商,德国,590,434,60
零件,44 oz,蓝色,英国,经销商,英国,903,9479,96
零件,123 oz,蓝色,美国,经销商,美国,278,8185,91
零件,235 oz,绿色,澳大利亚,批发,澳大利亚,551,1950,51
零件,307 oz,白色,英国,批发,加拿大,842,8212,55
零件,197 oz,绿色,美国,批发,澳大利亚,480,4721,56
零件,299 oz,白色,澳大利亚,批发,加拿大,705,9027,51
零件,174 oz,白色,加拿大,批发,法国,628,4955,30
零件,4 oz,蓝色,法国,批发,德国,458,8561,69
零件,108 oz,白色,德国,批发,英国,549,2214,73
零件,346 oz,蓝色,英国,批发,美国,179,6684,94
零件,236 oz,红色,美国,自行车专卖店,澳大利亚,96,2187,56
零件,323 oz,绿色,澳大利亚,自行车专卖店,加拿大,361,3485,76
零件,187 oz,红色,澳大利亚,自行车专卖店,法国,734,8064,42
零件,210 oz,蓝色,加拿大,自行车专卖店,德国,807,9929,32
零件,323 oz,蓝色,法国,自行车专卖店,英国,348,5143,36
零件,327 oz,红色,德国,自行车专卖店,美国,185,4411,76
零件,190 oz,蓝色,英国,经销商,澳大利亚,684,1641,17
零件,169 oz,红色,美国,经销商,加拿大,828,9451,55
零件,159 oz,蓝色,澳大利亚,经销商,法国,814,5582,65
零件,63 oz,红色,加拿大,经销商,德国,373,8757,53
零件,85 oz,蓝色,法国,经销商,英国,889,7752,85
零件,246 oz,蓝色,德国,经销商,美国,904,1064,17
零件,280 oz,绿色,英国,批发,澳大利亚,113,3945,92
零件,60 oz,白色,美国,批发,加拿大,342,2508,84
零件,257 oz,蓝色,澳大利亚,经销商,澳大利亚,557,8695,90
零件,103 oz,红色,加拿大,经销商,加拿大,198,5742,7
零件,184 oz,蓝色,澳大利亚,经销商,法国,188,3430,57
零件,340 oz,红色,加拿大,经销商,德国,331,4245,37
零件,251 oz,蓝色,法国,经销商,英国,34,5691,33
零件,92 oz,蓝色,德国,经销商,美国,231,936,33
零件,107 oz,绿色,澳大利亚,批发,澳大利亚,688,9925,8
零件,84 oz,白色,加拿大,批发,加拿大,53,7524,39
零件,202 oz,绿色,法国,批发,澳大利亚,822,5978,28
零件,309 oz,白色,德国,批发,加拿大,637,7137,25
零件,309 oz,白色,英国,批发,法国,180,5678,10
零件,348 oz,蓝色,美国,批发,德国,742,6056,33
零件,39 oz,白色,澳大利亚,批发,英国,782,8577,35
零件,104 oz,蓝色,加拿大,批发,美国,115,2586,99
零件,330 oz,红色,法国,自行车专卖店,澳大利亚,676,1980,30
零件,96 oz,绿色,德国,自行车专卖店,加拿大,904,1752,8
零件,14 oz,红色,英国,自行车专卖店,法国,981,7228,83
零件,166 oz,蓝色,美国,自行车专卖店,德国,383,3419,13
零件,298 oz,蓝色,澳大利亚,自行车专卖店,英国,189,6398,42
零件,112 oz,红色,加拿大,自行车专卖店,美国,423,2636,96
零件,203 oz,蓝色,澳大利亚,经销商,澳大利亚,61,3012,67
零件,18 oz,红色,加拿大,经销商,加拿大,781,6423,54
零件,347 oz,蓝色,法国,经销商,法国,758,687,4
零件,277 oz,红色,德国,经销商,德国,902,7931,31
零件,285 oz,蓝色,法国,经销商,英国,619,2797,1
零件,6 oz,蓝色,德国,经销商,美国,292,8841,22
零件,336 oz,绿色,英国,批发,澳大利亚,986,9811,59
零件,157 oz,白色,美国,批发,加拿大,194,1320,83
零件,101 oz,蓝色,澳大利亚,经销商,澳大利亚,890,7481,58
零件,346 oz,红色,加拿大,经销商,加拿大,381,5940,12
零件,205 oz,蓝色,澳大利亚,经销商,法国,735,633,57
零件,195 oz,红色,加拿大,经销商,德国,211,6508,36
零件,179 oz,蓝色,法国,经销商,英国,834,8234,8
零件,142 oz,蓝色,德国,经销商,美国,646,2296,18
零件,36 oz,绿色,英国,批发,澳大利亚,79,726,16
零件,190 oz,白色,美国,批发,加拿大,129,4956,32
零件,81 oz,绿色,澳大利亚,批发,澳大利亚,899,2927,70
零件,315 oz,白色,加拿大,批发,加拿大,266,3561,77
零件,92 oz,白色,法国,批发,法国,492,1519,76
零件,158 oz,蓝色,德国,批发,德国,519,2093,47
零件,223 oz,白色,法国,批发,英国,549,2363,50
零件,166 oz,蓝色,德国,批发,美国,444,9908,52
零件,236 oz,红色,英国,自行车专卖店,澳大利亚,899,6816,19
零件,27 oz,绿色,美国,自行车专卖店,加拿大,596,481,73
零件,28 oz,红色,澳大利亚,自行车专卖店,法国,102,9587,76
零件,292 oz,蓝色,加拿大,自行车专卖店,德国,189,8228,62
零件,50 oz,蓝色,澳大利亚,自行车专卖店,英国,70,9156,38
零件,20 oz,红色,加拿大,自行车专卖店,美国,476,1233,12
零件,152 oz,蓝色,法国,经销商,澳大利亚,466,6456,29
零件,224 oz,红色,德国,经销商,加拿大,119,5747,89
零件,18 oz,蓝色,英国,经销商,法国,887,9592,63
零件,287 oz,红色,美国,经销商,德国,730,826,83
零件,246 oz,蓝色,澳大利亚,经销商,英国,988,4096,90
零件,259 oz,蓝色,加拿大,经销商,美国,409,3091,47
零件,111 oz,绿色,法国,批发,澳大利亚,688,1801,99
零件,160 oz,白色,德国,批发,加拿大,312,2121,7
零件,313 oz,蓝色,德国,经销商,澳大利亚,193,2728,29
零件,57 oz,红色,英国,经销商,加拿大,866,4317,58
零件,175 oz,蓝色,美国,经销商,法国,672,703,97
零件,12 oz,红色,澳大利亚,经销商,德国,674,9810,72
零件,45 oz,蓝色,加拿大,经销商,英国,350,8356,0
零件,164 oz,蓝色,澳大利亚,经销商,美国,182,4151,93
零件,29 oz,绿色,加拿大,批发,澳大利亚,357,9535,87
零件,250 oz,白色,法国,批发,加拿大,72,6426,11
零件,55 oz,绿色,德国,批发,澳大利亚,752,9260,44
零件,45 oz,白色,英国,批发,加拿大,766,1411,10
零件,102 oz,白色,美国,批发,法国,351,4156,68
零件,48 oz,蓝色,澳大利亚,批发,德国,799,6014,55
零件,88 oz,白色,加拿大,批发,英国,536,3930,61
零件,302 oz,蓝色,法国,批发,美国,84,4657,85
零件,89 oz,红色,德国,自行车专卖店,澳大利亚,488,2746,1
零件,95 oz,绿色,英国,自行车专卖店,加拿大,758,8344,65
零件,45 oz,红色,美国,自行车专卖店,法国,322,8885,92
零件,311 oz,蓝色,澳大利亚,自行车专卖店,德国,909,4780,13
零件,171 oz,蓝色,加拿大,自行车专卖店,英国,687,4817,100
零件,155 oz,红色,法国,自行车专卖店,美国,116,4834,59
零件,25 oz,蓝色,德国,经销商,澳大利亚,797,2034,27
零件,301 oz,红色,英国,经销商,加拿大,746,402,86
零件,55 oz,蓝色,德国,经销商,法国,193,8886,1
零件,212 oz,红色,英国,经销商,德国,920,5339,48
零件,105 oz,蓝色,美国,经销商,英国,597,8674,45
零件,127 oz,蓝色,澳大利亚,经销商,美国,712,991,38
零件,303 oz,绿色,加拿大,批发,澳大利亚,923,4553,85
零件,304 oz,白色,澳大利亚,批发,加拿大,314,5330,50
零件,258 oz,蓝色,加拿大,经销商,澳大利亚,977,9449,54
零件,58 oz,红色,法国,经销商,加拿大,775,5980,24
零件,192 oz,蓝色,德国,经销商,法国,451,851,50
零件,1 oz,红色,英国,经销商,德国,102,581,36
零件,2 oz,蓝色,美国,经销商,英国,632,3152,20
零件,210 oz,蓝色,澳大利亚,经销商,美国,292,3785,37
零件,40 oz,绿色,加拿大,批发,澳大利亚,93,4998,14
零件,53 oz,白色,法国,批发,加拿大,440,2988,93
零件,245 oz,绿色,德国,批发,澳大利亚,388,2345,80
零件,228 oz,白色,英国,批发,加拿大,984,2116,79
零件,56 oz,白色,美国,批发,法国,48,742,14
零件,215 oz,蓝色,澳大利亚,批发,德国,992,2500,0
零件,81 oz,白色,加拿大,批发,英国,216,7771,82
零件,212 oz,蓝色,法国,批发,美国,543,927,46
零件,277 oz,红色,德国,自行车专卖店,澳大利亚,627,1674,18
零件,128 oz,绿色,英国,自行车专卖店,加拿大,452,6047,7
零件,193 oz,红色,澳大利亚,自行车专卖店,法国,911,5372,55
零件,70 oz,蓝色,加拿大,自行车专卖店,德国,373,7146,95
零件,271 oz,蓝色,法国,自行车专卖店,英国,588,756,6
零件,263 oz,红色,德国,自行车专卖店,美国,374,4335,20
零件,272 oz,蓝色,英国,经销商,澳大利亚,146,2658,44
零件,41 oz,红色,美国,经销商,加拿大,306,5543,73
零件,111 oz,蓝色,澳大利亚,经销商,法国,545,100,78
零件,153 oz,红色,加拿大,经销商,德国,387,757,40
零件,280 oz,蓝色,法国,经销商,英国,644,8997,66
零件,36 oz,蓝色,德国,经销商,美国,851,4247,9
零件,52 oz,绿色,英国,批发,澳大利亚,860,7795,39
零件,15 oz,白色,美国,批发,加拿大,305,1815,51
零件,349 oz,蓝色,澳大利亚,经销商,澳大利亚,837,1342,28
零件,309 oz,红色,加拿大,经销商,加拿大,456,8651,18
零件,116 oz,蓝色,法国,经销商,法国,214,150,35
零件,129 oz,红色,德国,经销商,德国,253,7619,31
零件,249 oz,蓝色,英国,经销商,英国,399,4001,20
零件,59 oz,蓝色,美国,经销商,美国,733,5481,93
零件,298 oz,绿色,加拿大,批发,澳大利亚,81,2426,63
零件,95 oz,白色,法国,批发,加拿大,920,7491,69
零件,349 oz,绿色,德国,批发,澳大利亚,750,6334,21
零件,172 oz,白色,英国,批发,加拿大,536,2329,70
零件,270 oz,白色,美国,批发,法国,943,3658,18
零件,289 oz,蓝色,澳大利亚,批发,德国,346,3765,42
零件,95 oz,白色,加拿大,批发,英国,203,398,18
零件,229 oz,蓝色,法国,批发,美国,978,497,81
汽车,140 oz,绿色,德国,自行车专卖店,澳大利亚,28849,15,69
汽车,140 oz,白色,英国,自行车专卖店,加拿大,41350,3,63
汽车,223 oz,绿色,美国,自行车专卖店,法国,34563,43,0
汽车,350 oz,红色,澳大利亚,自行车专卖店,德国,29638,59,78
汽车,279 oz,蓝色,加拿大,自行车专卖店,英国,53737,49,17
汽车,253 oz,白色,法国,自行车专卖店,美国,31974,57,58
汽车,193 oz,红色,德国,经销商,澳大利亚,58383,37,84
汽车,245 oz,绿色,英国,经销商,加拿大,52421,27,31
汽车,97 oz,红色,美国,经销商,法国,55410,41,30
汽车,145 oz,蓝色,澳大利亚,经销商,德国,32640,51,46
汽车,128 oz,白色,加拿大,经销商,英国,6529,27,82
汽车,102 oz,白色,法国,经销商,美国,7769,24,36
汽车,218 oz,红色,德国,批发,澳大利亚,30275,60,62
汽车,342 oz,蓝色,英国,批发,加拿大,27607,51,62
汽车,108 oz,白色,美国,批发,法国,25123,49,51
汽车,185 oz,红色,澳大利亚,批发,德国,19302,60,0
汽车,30 oz,白色,加拿大,批发,英国,23360,33,83
汽车,90 oz,白色,法国,批发,美国,11932,33,89
汽车,19 oz,绿色,德国,自行车专卖店,澳大利亚,37690,47,73
汽车,145 oz,白色,英国,自行车专卖店,加拿大,4210,28,55
汽车,188 oz,绿色,美国,自行车专卖店,法国,37789,7,35
汽车,115 oz,红色,澳大利亚,自行车专卖店,德国,19231,43,98
汽车,46 oz,蓝色,加拿大,自行车专卖店,英国,35546,33,69
汽车,272 oz,白色,法国,自行车专卖店,美国,8564,53,94
汽车,300 oz,红色,德国,经销商,澳大利亚,8640,56,21
汽车,290 oz,绿色,英国,经销商,加拿大,27166,39,69
汽车,159 oz,红色,美国,经销商,法国,41694,56,31
汽车,140 oz,蓝色,澳大利亚,经销商,德国,32146,58,31
汽车,345 oz,白色,加拿大,经销商,英国,41357,37,34
汽车,69 oz,白色,法国,经销商,美国,51936,45,87
汽车,151 oz,红色,德国,批发,澳大利亚,388436,50,19
汽车,269 oz,蓝色,英国,批发,加拿大,30384,3,98
汽车,205 oz,白色,美国,批发,法国,50190,6,15
汽车,34 oz,红色,澳大利亚,批发,德国,173481,5,92
汽车,259 oz,白色,加拿大,批发,英国,14598,37,4
汽车,37 oz,白色,法国,批发,美国,20013,3,64
汽车,255 oz,绿色,德国,自行车专卖店,澳大利亚,40203,12,53
汽车,240 oz,白色,英国,自行车专卖店,加拿大,19505,2,56
汽车,102 oz,绿色,美国,自行车专卖店,法国,56675,35,41
汽车,99 oz,红色,澳大利亚,自行车专卖店,德国,52117,4,81
汽车,6 oz,蓝色,加拿大,自行车专卖店,英国,8902,5,62
汽车,344 oz,白色,法国,自行车专卖店,美国,57322,44,57
汽车,341 oz,红色,德国,经销商,澳大利亚,13667,29,66
汽车,87 oz,绿色,英国,经销商,加拿大,68483,23,31
汽车,109 oz,红色,美国,经销商,法国,12979,4,34
汽车,229 oz,蓝色,澳大利亚,经销商,德国,16950,4,99
汽车,127 oz,白色,法国,经销商,英国,12766,59,68
汽车,310 oz,白色,德国,经销商,美国,20699,38,89
汽车,24 oz,红色,英国,批发,澳大利亚,36607,59,18
汽车,312 oz,蓝色,美国,批发,加拿大,15976,29,51
